WKT,Назва,Реєстр,Населені пункти,Повіт
POINT (25.7260783 50.0960966),"Кременецький костел, м-ко Кременець Кременецького повіту",https://daro-metric-map.pages.dev/parafia/1cf6782c/,"сс. Білокриницької вол. Біла Криниця, Веселівка, Колосове, Лішня; Дубенського пов. Судобицької вол. Марцеліна, Студянка, Шепетин",Кременецький
POINT (25.2460029 50.1293661),"Радзивилівський костел, м-ко Радзивилів Кременецького повіту Радзивилівської волості",https://daro-metric-map.pages.dev/parafia/ed062341/,"сс. Балки, Батьків, Башарівка, Березини, Бугаївка, Гаї-Лев’ятинські, Дранча, Крижі, Лев’ятин, Немирівка, Опарипси, Перенятин, Прокази, Радзивилів, Суходоли; Почаївської вол. Крутнів, Лідихів, Лосятин, Почаїв; Дубенського пов. Вербської вол. Пирятин, Крупецької вол. Баранне, Крупець, Сестрятин",Кременецький
POINT (27.116673 50.460449),"Берездівський костел, м-ко Берездів Новоград-Волинського повіту Берездівської волості",https://daro-metric-map.pages.dev/parafia/559cbe2a/,"сс. Великий Правутин, Малий Правутин, Яблунівка; Заславського пов. Жуківської вол. Зубівщина, Мирутин",Новоград-Волинський
POINT (27.149336 50.617483),"Костел Св. Антонія, м-ко Корець Новоград-Волинського повіту Корецької волості",https://daro-metric-map.pages.dev/parafia/58b31374/,"сс. Аннівка, Богданівка, Бриків, Бятки, Вирища, Голичівка, Головниця, Града, Гранне, Дерманка, Жадківка, Забара, Зарів’я, Звіздів, Кобилля, Козак, Корецькі Хутори, Коробилівка, Крияник, Кутки, Лазарет, Любомирка, Миколаївка, Мухарів, Морозівка, Новий Корець, Річки, Старий Корець, Томанів, Фаянс, Хманівка, Шитні, Юзефин; Городницької вол. Березники, Велика Настахівка, Вирийка (Вирівка), Городниця, Дубинки (Дубники), Кривальська Гута, Лучиця, Любтів, Мала Настахівка, Перевезня, Сапожин, Сторожів, Суховоля; Берездівської вол. Печиводи, Піддубці, Чернокали; Жолобненської вол. Кам’янка, Косинів, Кошелів; Піщевської вол. Багате, Велика Деражня, Дідовичі, Дуплинки, Кам’янка Суховольська, Крайня Деражня, Майдан Кропивенський, Мечеть, Мужиловичі, Піщев, Полчини, Середня Деражня; Острозького пов. Довжанської вол. Киликіїв, Крилів, Черниця; Рівненського пов. Каюнова, Мечиславівка, Млинок, Остриганка, Рудня Каюнова; Рівненського пов. Межиріцької вол. Березівка, Велика Клецька, Водник, Копитів, Користь, Мала Клецька, Топча, Черкиж; Селищної вол. Балярка Устенська, Більчаки, Бродниця (Брониця), Глушків, Маринин, Мишаків, Пісківка, Слобода Устенська, Устя, Фабрика Устенська, Шопи",Новоград-Волинський
POINT (27.6066973 50.5917622),"Новоград-Волинський костел, м-ко Новоград-Волинський Новоград-Волинського повіту",https://daro-metric-map.pages.dev/parafia/4bf02298/,"сс. Кам’яний Брід, Черниця, Городницької вол. Курчиця, Суслів; Ємільчинської вол. Аполлонівка, Піщевської вол. Анета, Анжелине; Романівської вол. Абрамок, Олександрівка; Сербівської вол. Андрієвичі",Новоград-Волинський
POINT (26.8975265 50.4526337),"Аннопільський костел, м-ко Аннопіль Острозького повіту Аннопільської волості",https://daro-metric-map.pages.dev/parafia/92065e82/,"сс. Глинники, Нараєвка; Заславського пов. Жуківської вол. Губельці, Хоровецької вол. Бачманівка",Острозький
POINT (26.3648377 50.2434839),"Куневський костел, м-ко Кунев Острозького повіту Куневської волості",https://daro-metric-map.pages.dev/parafia/dc1d6d2e/,"сс. Болотківці, Вілія, Закоти, Ілляшівка, Кам’янка, Ляхів, Новородчиці, Перерослівської вол. Велика Боровиця, Велика Радогощ, Добрин, Козин, Коритне, Нова Гутиська, Переросле, Стара Гутиська; Плужнянської вол. Мала Радогощ, М’якоти",Острозький
POINT (26.521205 50.327853),"Острозький костел, м. Острог Острозького повіту",https://daro-metric-map.pages.dev/parafia/d584ed56/,"сс. Куневської вол. Лючин, Сіянецької вол. Кургани, Могиляни, Мощаниця, Хорівської вол. Бродів, Грем’яче, Плоске",Острозький
POINT (26.370103 50.53048),"Тайкурський костел, с. Тайкури Острозького повіту Здовбицької волості",https://daro-metric-map.pages.dev/parafia/95955b46/,"сс. Здовбиця, Івачкове, Каменеломи, Копиткове, Мар’янівка, Новосілки, Порозове, Урвенна, Бугринської вол. Бугрин, Новоставці, Підліски, Посягва, Стадники, Томахів, Угільці, Сіянецької вол. Сіянці; Дубенського пов. Мізоцької вол. Уїздці, Хорівської вол. Чеський Гай; Рівненського пов. Рівненської вол. Глинки, Квасилів, Колоденка",Острозький
POINT (25.5186695 50.5557719),"Анновільський костел, с. Анновіль Рівненського повіту Тучинської гміни",https://daro-metric-map.pages.dev/parafia/7e1d0828/,"сс. Груди, Березнівської гміни Велике Поле, Кадобище, Наталя, Синяківка",Рівненський
POINT (26.5077415 50.6593682),"Гориньградський костел, м-ко Гориньград Рівненського повіту Тучинської волості",https://daro-metric-map.pages.dev/parafia/969f2a52/,"сс. Микулин, Рівненської вол. Антопіль, Бабин; Острозького пов. Бугринської вол. Горбаків, Дорогобуж, Подоляни, Рясники, Шкарів",Рівненський
POINT (26.0447536 50.8590537),"Деражненський костел, м-ко Деражне Рівненського повіту Деражненської волості",https://daro-metric-map.pages.dev/parafia/557de99a/,"сс. Бечаль, Варцелівка, Гошиха, Дюксин, Жобрин, Заброди, Злазне, Круги, Постійне, Ставок, Чудви; Костопільської вол. Велика Любаша, Мала Любаша, Підлужне; Стидинської вол. Яполоть; Луцького пов. Сильненської вол. Балярка, Вовче, Глибочек, Затишшя, Заугільці, Заулок (Загулок), Знамерівка, Ладеса, Липно, Макарів, Неруче, Оличка, Скрештовка",Рівненський
POINT (26.45886 51.108742),"Костел Св.Казимира, с. Казимирка Рівненського повіту Степанської волості",https://daro-metric-map.pages.dev/parafia/ad09c8b9/,"сс.Дерманка, Заугілля, Нова Варшава, Острів, Підгірник, Рудня, Темпків; Березнівської вол. Голубне, Залісся, Замостище, Ільники, Кам’янка, Карачун, Крешів, Кургани, Липники, Яблунне, Яринівка; Костопільської вол. Болдинок, Данчиміст, Довге, Іполітівка, Космачів, Мар’янівка, Олександрівка, Печалівка, Пісків, Плотичне, Яснобір",Рівненський
POINT (25.970982 50.746055),"Клеванський костел, м-ко Клевань Рівненського повіту Клеванської волості",https://daro-metric-map.pages.dev/parafia/414d157b/,"сс. Адамівка (Адамків), Білів, Бронники, Видранка, Голишів, Грабів, Дерев’яне, Диків, Застав’я, Костянтинів, Марцемінівка, Мочулки, Новожуків, Новосілки, Новостав, Олишва, Оржів, Піщанка, Рогачів, Руда-Красна, Сморжів, Старожуків, Суськ, Швайцари; Деражненської вол. Жильжа, Корчин; Дядьковицької вол. Грушвиця, Заріцьк, Кардаш, Макотерти, Мартинівка, Милостів, Новосілки, Новостав (Дальній), Переділи, Пересопниця, Плоска, Шостаків, Шпаків, Яневичі; Рівненської вол. Караєвичі, Понебель; Луцького пов. Сильненської вол. Оличка",Рівненський
POINT (26.459981 50.865375),"Костопільський костел, м-ко Костопіль Рівненського повіту Костопільської гміни",https://daro-metric-map.pages.dev/parafia/d636357b/,"сс. Борщівка, Липники, Маща, Рокитне, Янкевичі, Березнівської гміни Велика Купля, Велике Поле, Мала Купля, Кустинської гміни Козлинський Майдан, Тучинської гміни Довганець",Рівненський
POINT (26.850932 50.659225),"Межирицький костел, м-ко Межирічі Рівненського повіту Межиріцької волості",https://daro-metric-map.pages.dev/parafia/6a020892/,"сс. Андрусіїв, Вацлавка, Велика Харуча, Вороб’ївка, Воронуха, Даничів, Желізниця, Коловерти, Підліски, Підляшки, Самостріли, Толкачі, Харалуг, Щекичин; Селищної вол. Довга Нива, Хмелівка; Тучинської вол. Витків, Синів, Терентіїв; Острозького пов. Аннопільської вол. Жаврів; Гощанської вол. Блудів, Бранів, Гоща, Русивель, Сапожин, Симонів, Федорівка, Франівка, Чудниця; Довжанської вол. Дуліби, Майків; Сіянецької вол. Бочаниця",Рівненський
POINT (26.825545 50.688633),"Невірківський костел, с. Невірків Рівненського повіту Межиріцької волості",https://daro-metric-map.pages.dev/parafia/fdbbc317/,"сс. Білий Берег, Буда, Вовкошів, Городище, Гута Сидлинська, Дивинь, Жорнівка, Забара, Кільце, Липки, Мала Совпа, Млинок, Польки, Слобода Промська, Янівка; Селищної вол. Адамівка, Бистричі, Велика Совпа, Ведмедівка, Вілля, Глинища, Глубочанка, Грушівка, Губків, Гута Бистрицька, Гута Грушівська, Застав’я, Кам’янка, Левачі, Людвипіль, Мокре, Мочулянка, Немиля, Нова Гута, Новини, Озірці, Погорілівка, Рудня-Погорілівська, Рудня Стрия, Сівки, Стара Гута, Стрий, Хвоянка, Юзефівка, Якубівка; Тучинської вол. Малі Селища",Рівненський
POINT (26.3455835 50.731873),"Олександрійський костел, м-ко Олександрія Рівненського повіту Кустинської волості",https://daro-metric-map.pages.dev/parafia/06b18a9e/,"сс. Глажівський Майдан, Глажова, Забороль, Ізіфорівка, Кам’яна Гора, Карловщина Заборольська, Карловщина Козлинська, Козлин, Козлинський Майдан, Колесня, Кустин, Любомирка, Майдан Нечків, Малий Житин, Плебенія, Рубче, Свяття, Соломка, Три Копці, Ходоси, Юзефівка (Баярка); Костопільської вол. Берестовець, Борщівка, Головин, Костопіль, Перемінка, Янкевичі; Тучинської вол. Антонівка, Котів, Руденка, Зелена, Юзефівка Руденська",Рівненський
POINT (26.240445 50.619754),"Рівненський костел, м. Рівне Рівненського повіту",https://daro-metric-map.pages.dev/parafia/6610bb20/,"сс. Варковицької вол. Конюшки, Ульбарів; Дядьковицької вол. Богдашів, Верхівськ, Глинськ, Дядьковичі, Кошатів, Кривичі, Орестів, П’ятигори, Ясининичі; Кустинської вол. Хотин; Рівненської вол. Антопіль, Бармаки, Басів Кут, Біла Криниця, Бегень, Боярка, Гелесин, Городок, Дворець, Золотіїв, Карпилівка, Михайлівка, Новий Двір, Обарів, Омеляна, Ставки, Тинне, Тютьковичі, Ядвиполь",Рівненський
POINT (26.2992131 51.1328667),"Степанський костел, м-ко Степань Рівненського повіту Степанської волості",https://daro-metric-map.pages.dev/parafia/d0b27573/,"сс. Бутейки, Велике Вербче, Кричильськ, Мале Вербче, Погулянка, Стидинської вол. Великий Стидин, Збуж, Золотолин, Малий Стидин",Рівненський
POINT (26.5702539 50.7020728),"Тучинський костел, м-ко Тучин Рівненського повіту Тучинської волості",https://daro-metric-map.pages.dev/parafia/e39e0638/,"сс. Воронів, Воскодави, Горбів, Дроздів, Матіївка, Микулин, Пустомити, Сінне",Рівненський
POINT (26.26659 50.660019),"Шпанівський костел, с. Шпанів Рівненського повіту Рівненської волості",https://daro-metric-map.pages.dev/parafia/f444a2cd/,"сс. Олексин, Терепіль, Великий Житин, Волошки, Городище, Малий Житин, Решуцьк",Рівненський
POINT (26.596299 51.336221),"Сарненський костел, м-ко Сарни Сарненського повіту Немовицької гміни",https://daro-metric-map.pages.dev/parafia/c9e15bb1/,"сс. Гута Немовицька, Гута-Перейма, Доротичі, Карпилівка, Катеринівка, Кдейова, Костянтинівка, Немовичі, Ольшаниця, Орлівка, Остки, Пожога, Плоске, Радзиж, Рудня Карпилівська, Фільфарк, Хощовата, Юзефпіль, Язвинки, Янівка; Городецької гміни Довге, Кідри, Романівка, Тутовичі; Клесівської гміни Клесів, Томашгород; Любиковицької гміни Маслопуща, Ремчиці, Стрільськ; Степанської гміни Убереж, Угли; Костопільського повіту Несподзянка",Сарненський
