level,group,archive,fond,inventory,file_code,codes_range,files_n,copies_n,title,counterpart,counterpart_title,note
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,13,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-13,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,14,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-14,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D1-dupe-of-base,ДАДнО,Р6508,10ДОДТ2,15,,,1,"Акти громадянського стану, 1920-1948",ДАДнО-Р6508-10ДОД-15,"Акти громадянського стану, 1920-1948",exact dup (code+title) of base file
file,D4-blank-shell,ДАОО,Р16,124ЧАСТ2,17548,,,0,,,,blank shell
file,D4-blank-shell,ДАОО,Р16,124ЧАСТ2,17563,,,0,,,,blank shell
file,D5-glued-no-base,ДАДнО,Р6508,10,10ДТ2,,,0,,10Д (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАДнО,Р6508,10,11ДТ2,,,0,,11Д (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАДнО,Р6508,10,12ДТ2,,,0,,12Д (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАДнО,Р6508,10,13ДТ2,,,0,,13Д (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАДнО,Р6508,10,15ДТ2,,,0,,15Д (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАДнО,Р6508,10,1ДТ2,,,0,,1Д (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАДнО,Р6508,10,4ДТ2,,,0,,4Д (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАІФО,Р2157,2,58380ПТ3,,,0,,58380П (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАКрО,Р5037,4,435АТ2,,,0,,435А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАКрО,Р5037,4,436АТ2,,,0,,436А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ1,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ2,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ3,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ4,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ5,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ6,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ7,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ДАХмО,Р6193,12,4707АТ8,,,0,,4707А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ЦДАГО,263,1,39461МТ2,,,0,"Тищенко-Бондаренко Наталія Федорівна, 51 арк.",39461М (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ЦДАГО,263,1,52031ОТ1,,,0,"Іщенко Володимир Павлович, 53 арк.",52031О (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ЦДАГО,263,1,60508АТ1,,,0,"Попова Марія Яківна, 38 арк.",60508А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ЦДАГО,263,1,60508АТ2,,,0,"Попова Марія Яківна, 25 арк.",60508А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D5-glued-no-base,ЦДАГО,263,1,60508АТ3,,,0,"Попова Марія Яківна, 16 арк.",60508А (absent),,"том/част-glued code, base file absent in опис — fold needs base creation or is not a volume at all"
file,D6-cdiak128-excluded,ЦДІАК,128,БЛАГ1,3343Ч1,,,0,Справа про розпис стін і склепінь лаврської трапезної церкви та братської трапези,3343 (absent),,curated fond excluded from auto-fix; Ч-suffix = частина of справа
file,D6-cdiak128-excluded,ЦДІАК,128,БЛАГ1,3505Ч1,,,0,"Справа про закупівлю збіжжя, напоїв та продовольства для забезпечення харчами братії, хворих, паломників та робітників господарства",3505 (absent),,curated fond excluded from auto-fix; Ч-suffix = частина of справа
file,D6-cdiak128-excluded,ЦДІАК,128,БЛАГ1,3505Ч2,,,0,"Справа про закупівлю збіжжя, напоїв та продовольства для забезпечення харчами братії",3505 (absent),,curated fond excluded from auto-fix; Ч-suffix = частина of справа
inventory,D7-inspector3-only,ДАДнО,Р6508,10ДТ2,,,15,,,,,"exists only on LOCAL inspector_3 (not on prod) — post-promotion drift, review origin"
