oc_id,parsed,target,note
e5799f68-460d-48b1-a01a-3ace52a6577a,ЦДАВО-(340-3-л+++340-3-л+++Документи центральних установ України - 1917-1933_340-3-л_1922–1930),ЦДАВО-340-3Л,L2 FS ref: ref = archive-fond-inventory
799bfdd6-70f3-40a5-9a83-71b2e3b1189c,ЦДАВО-(4487-2-л+++4487-2-л+++Описи справ архіву (довідкові матеріали без дати)_4487-2-л_1943–1957),ЦДАВО-4487-2Л,L2 FS ref: ref = archive-fond-inventory
4637d8ac-809d-4e8c-84a5-83b4c529630e,ЦДАВО-(4488-1-л+++4488-1-л+++Описи справ архіву (довідкові матеріали без дати)_4488-1-л_1941–1957),ЦДАВО-4488-1Л,L2 FS ref: ref = archive-fond-inventory
8ae8156a-a95c-47ea-ae55-27646a416e87,ЦДАВО-(4820-23-в+++4820-23-в+++Описи справ архіву (довідкові матеріали без дати)_4820-23-в_1961–1965),ЦДАВО-4820-23В,L2 FS ref: ref = archive-fond-inventory
4c85fb87-eecf-4f7b-9c6b-10bd53c50e3c,ЦДАВО-(5013-1-л+++5013-1-л+++Описи справ архіву (довідкові матеріали без дати)_5013-1-л_1968–1970),ЦДАВО-5013-1Л,L2 FS ref: ref = archive-fond-inventory
3a762558-7445-416f-8d15-21ddbe32a18e,ЦДАВО-(5317-1-к+++5317-1-к+++Описи справ архіву (довідкові матеріали без дати)_5317-1-к_1),ЦДАВО-5317-1К,L2 FS ref: ref = archive-fond-inventory
0ce6bb5f-a6ee-406a-9ccd-e3c6aa3033e0,ЦДАВО-(5317-2-к+++5317-2-к+++Описи справ архіву (довідкові матеріали без дати)_5317-2-к_1),ЦДАВО-5317-2К,L2 FS ref: ref = archive-fond-inventory
d26172c4-969f-4cee-9bfd-5e06c1cc21c4,ЦДАВО-(5317-3-к+++5317-3-к+++Описи справ архіву (довідкові матеріали без дати)_5317-3-к_1),ЦДАВО-5317-3К,L2 FS ref: ref = archive-fond-inventory
a43389ff-3d7b-45d4-ac52-ea956732368b,ЦДАВО-(5317-6-к+++5317-6-к+++Описи справ архіву (довідкові матеріали без дати)_5317-6-к_2011–2013),ЦДАВО-5317-6К,L2 FS ref: ref = archive-fond-inventory
f86e9367-14f8-45e1-a83f-9be30b3be1eb,ЦДАВО-(5325-2-к+++5325-2-к+++Описи справ архіву (довідкові матеріали без дати)_5325-2-к_1),ЦДАВО-5325-2К,L2 FS ref: ref = archive-fond-inventory
4ff34076-65eb-4d8a-90e1-99deaa95476c,ЦДАВО-(5330-3-К+++5330-3-К+++Описи справ архіву (довідкові матеріали без дати)_5330-3-К_1),ЦДАВО-5330-3К,L2 FS ref: ref = archive-fond-inventory
0dba1494-2036-4b28-b829-f6b29c472ed6,ЦДАВО-(5330-6-К+++5330-6-К+++Описи справ архіву (довідкові матеріали без дати)_5330-6-К_1),ЦДАВО-5330-6К,L2 FS ref: ref = archive-fond-inventory
40dfcae5-b958-4e65-b876-4cb92c1f949c,ЦДАВО-(5331-2-к+++5331-2-к+++Описи справ архіву (довідкові матеріали без дати)_5331-2-к_1),ЦДАВО-5331-2К,L2 FS ref: ref = archive-fond-inventory
e0f84c0c-dc2b-47c3-be4e-76ef37d1c7a7,ЦДАВО-(5345-1-к+++5345-1-к+++Описи справ архіву (довідкові матеріали без дати)_5345-1-к_1975–1988),ЦДАВО-5345-1К,L2 FS ref: ref = archive-fond-inventory
