69	Подільська губернська лікарська управа, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1797-1860	1	2
70	Студеницьке волосне правління, м-ко Студениця Ушицького повіту Подільської губернії	1869-1872	1	1
71	Рахнівецьке волосне правління, с. Рахнівка Ушицького повіту Подільської губернії	1858-1920	2	1190
72	Грушковецьке волосне правління, с. Грушка Ушицького повіту Подільської губернії	1864-1915	1	0
73	Гуменецьке волосне правління, с. Гуменці Кам'янецького повіту Подільської губернії	1862-1889	1	1
74	Косиковецьке волосне правління, с. Косиківці Ушицького повіту Подільської губернії	1916-1916	1	0
75	Смотрицьке волосне правління, м-ко Смотрич Кам'янецького повіту Подільської губернії	1864-1909	1	0
77	Рудське волосне правління, с. Руда Кам'янецького повіту Подільської губернії	1874-1874	1	0
78	Маківське волосне правління, м-ко Маків Кам'янецького повіту Подільської губернії	1861-1923	1	1365
79	Балинське волосне правління, м-ко Балин Кам'янецького повіту Подільської губернії	1867-1919	1	0
80	Гавриловецьке волосне правління, с. Гаврилівці Кам'янецького повіту Подільської губернії	1868-1877	1	0
81	Вірменське волосне правління, с. Вірмени Кам'янецького повіту Подільської губернії	1862-1863	1	0
82	Осламівське волосне правління, с. Осламів Ушицького повіту Подільської губернії	1881-1918	1	0
84	Михайлівське волосне правління, м-ко Михайлівка Ушицького повіту Подільської губернії	1862-1905	1	0
85	Баговицьке волосне правління, с. Баговиця Кам'янецького повіту Подільської губернії	1868-1914	1	0
89	Волосовецьке волосне правління, с. Волосівці Летичівського повіту Подільської губернії	1868-1875	1	0
90	Гречанське волосне правління, с. Гречани Проскурівського повіту Подільської губернії	1874-1874	1	0
91	Глушковецьке волосне правління, с. Глушківці Проскурівського повіту Подільської губернії	1867-1867	1	0
92	Загінецьке волосне правління, с. Загінці Летичівського повіту Подільської губернії	1861-1868	1	0
93	Іванковецьке волосне правління, с. Іванківці Проскурівського повіту Подільської губернії	1868-1871	1	0
94	Кадиївське волосне правління, с. Кадиївці Кам'янецького повіту Подільської губернії	1868-1871	1	0
95	Меджибізьке волосне правління, м-ко Меджибіж Летичівського повіту Подільської губернії	1869-1920	1	0
96	Малиницьке волосне правління, с. Малиничі Проскурівського повіту Подільської губернії	1895-1895	1	1
98	Пашковецьке волосне правління, с. Пашківці Проскурівського повіту Подільської губернії	1897-1912	1	0
99	Сарнівське волосне правління, с. Сарнів Проскурівського повіту Подільської губернії	1910-1910	1	0
100	Калинянське волосне правління, с. Калиня Кам'янецького повіту Подільської губернії	1869-1875	1	0
102	Китайгородське волосне правління, м-ко Китайгород Ушицького повіту Подільської губернії	1854-1923	1	1
103	Врубловецьке волосне правління, с. Врублівці Кам'янецького повіту Подільської губернії	1863-1877	1	0
104	Фельштинське волосне правління, м-ко Фельштин Проскурівського повіту Подільської губернії	1874-1881	1	4
105	Хоньковецьке волосне правління, с. Хоньківці Могилівського повіту Подільської губернії	1912-1912	1	0
106	Чорноострівське волосне правління, м-ко Чорний Острів Проскурівського повіту Подільської губернії	1878-1902	1	0
107	Юринецьке волосне правління, с. Юринці Проскурівського повіту Подільської губернії	1872-1872	1	0
108	Ярмолинецьке волосне правління, м-ко Ярмолинці Проскурівського повіту Подільської губернії	1868-1915	1	0
109	Чемеровецьке волосне правління, м-ко Чемерівці Кам'янецького повіту Подільської губернії	1876-1876	1	0
110	Яськовецьке волосне правління, с. Яськівці Летичівського повіту Подільської губернії	1864-1873	1	0
111	Подільський губернський комітет із забезпечення сільського православного духовенства, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1841-1889	1	0
112	Подільське губернське у селянських справах присутствіє, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1855-1919	3	0
113	Старший нотаріус Кам'янець-Подільського окружного суду, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1880-1920	62	5
114	Кам'янецька квартирна комісія, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1845-1875	1	0
115	Подільська губернська креслярня, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1798-1878	2	3237
116	Подільська палата державного майна, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1840-1866	1	0
117	Подільське губернське у міських справах присутствіє, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1844-1916	4	3
118	Подільська губернська комісія народного продовольства, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1843-1901	1	0
119	Летичівський повітовий апеляційний межовий суд, м. Летичів Летичівського повіту Подільської губернії	1817-1840	1	0
120	Подільський головний суд, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії		5	2
121	Подільське губернське з військової повинності присутствіє, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1861-1917	2	615
123	Подільський губернський предводитель дворянства, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1808-1919	2	0
124	Податковий інспектор м. Кам'янця-Подільського, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1895-1911	1	0
125	Кам'янецький повітовий комітет опікування про народну тверезість, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1897-1908	1	0
127	Подільський губернський віспяний комітет, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1823-1861	1	0
130	Кам'янецький повітовий віспяний комітет, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1835-1868	1	0
131	Кам'янецький повітовий комітет зі знищення сарани, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1860-1863	1	0
132	Кам'янецька міська дума, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1814-1919	3	1535
134	Подільський губернський межовий суд, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1796-1840	1	0
135	Подільська палата карного та цивільного суду, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії		14	3
136	Ушицький повітовий стряпчий, м. Нова Ушиця Ушицького повіту Подільської губернії	1867-1867	1	0
137	Кам'янецька дворянська опіка, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1817-1914	1	0
138	Подільський губернський із казенних справ стряпчий, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1860-1860	1	0
139	Подільський губернський із карних справ стряпчий, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1816-1816	1	0
140	Ушицький повітовий апеляційний межовий суд, м. Нова Ушиця Ушицького повіту Подільської губернії	1803-1838	1	0
142	Кам'янецький повітовий земський суд, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1796-1867	1	0
143	Летичівський повітовий земський суд, м. Летичів Летичівського повіту Подільської губернії		1	0
198	З'їзд мирових суддів Кам'янецького судово-мирового округу, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1872-1919	1	3157
199	Мировий суддя 4-ї дільниці Ушицького судово-мирового округу, м-ко Дунаївці Ушицького повіту Подільської губернії	1914-1920	2	0
200	Мировий суддя 4-ї дільниці Ушицького судово-мирового округу, м-ко Дунаївці Ушицького повіту Подільської губернії	1914-1920	1	0
201	З'їзд мирових суддів Ушицького судово-мирового округу, м. Нова Ушиця Ушицького повіту Подільської губернії	1900-1920	1	0
203	Мировий суддя 4-ї дільниці Проскурівського судовомирового округу, м. Проскурів Проскурівського повіту Подільської губернії	1889-1889	1	0
204	Мировий суддя 4-ї дільниці Летичівського судово-мирового округу, м. Летичів Летичівського повіту Подільської губернії	1910-1910	1	0
206	Кам'янець-Подільський словесний суд, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1831-1838	1	0
207	Устінов Сергій Михайлович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1914-1915	1	0
210	Загорський Антон Титович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1911-1914	1	0
211	Свєтовідов Сергій Олександрович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1917-1920	1	0
212	Донской Олександр Олександрович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1910-1912	1	0
213	Павловський Федір Артемійович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1915-1920	2	0
215	Мандельштам Леонід Борисович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1884-1910	1	0
216	Грепачевський Калліст Захарійович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1912-1920	2	0
217	Колоколов Костянтин Іванович – нотаріус, м. Проскурів Проскурівського повіту Подільської губернії	1888-1917	1	0
218	Данутовський Сергій Михайлович – нотаріус, м-ко Ярмолинці Проскурівського повіту Подільської губернії	1884-1888	1	0
219	Яворський Олександр Тимофійович – нотаріус, м. Нова Ушиця Ушицького повіту Подільської губернії	1880-1911	1	0
220	Зновицький Йосип Йосипович – нотаріус, м. Нова Ушиця Ушицького повіту Подільської губернії	1893-1906	1	0
221	Кузьминський Владислав Йосипович – нотаріус, м-ко Дунаївці Ушицького повіту Подільської губернії	1915-1920	3	0
222	Шантгай Іван Федорович – нотаріус, м-ко Дунаївці Ушицького повіту Подільської губернії	1881-1883	1	0
223	Помічник присяжного повіреного Степура, м. Хотин Хотинського повіту Бессарабської губернії	1906-1915	1	0
224	Проскурівський сирітський суд, м. Проскурів Проскурівського повіту Подільської губернії	1873-1913	1	0
225	Фонд 225		3	12
226	Подільська казенна палата, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії		82	462
227	Подільське губернське правління, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії (1796–1919)	1796-1919	22	2084
230	Подільське дворянське депутатське зібрання, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії		5	261
231	Подільська губернська земська каса дрібного кредиту, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1913-1918	1	0
232	Подільський приказ громадської опіки, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1801-1904	1	0
233	Подільська губернська земська управа, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1903-1920	2	3030
234	Подільське відділення Селянського поземельного банку, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1875-1919	2	324
283	Управління коменданта міста Старокостянтинова, м. Старокостянтинів Старокостянтинівського повіту Волинської губернії	1917-1917	1	0
235	Подільське відділення комітету княгині Єлизавети Федорівни з надання благодійної допомоги родинам осіб, призваних на війну, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1914-1916	1	0
238	Подільська губернська шляхова комісія, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1850-1850	1	0
241	Подільський губернський комітет з розгляду та складання інвентарів на поміщицькі землі та маєтки, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1836-1854	2	1420
243	Подільський губернський комітет із земських повинностей, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1845-1861	2	0
247	Новоушицька міська ратуша, м. Нова Ушиця Ушицького повіту Подільської губернії	1834-1861	1	1
249	Кам'янець-Подільська міська управа, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1875-1920	1	1
250	Новоушицька міська управа, м. Нова Ушиця Ушицького повіту Подільської губернії	1881-1904	1	1
251	Кам'янецько-Ушицьке повітове в чиншових справах присутствіє, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1887-1915	1	0
255	Проскурівська повітова земська управа, м. Проскурів Проскурівського повіту Подільської губернії	1914-1918	1	0
256	Чемеровецьке поштове відділення, м-ко Чемерівці Кам'янецького повіту Подільської губернії	1914-1916	1	0
257	Ісаковецька карантинна контора, с. Ісаківці Кам'янецького повіту Подільської губернії	1914-1916	2	0
Р41	Відділ місцевого господарства виконкому Шепетівської окружної ради	1923-1930	2	937
259	Подільська губернська тюремна інспекція, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1890-1920	7	0
260	Подільський губернський опікунський комітет над тюрмами, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1835-1919	5	0
261	Попечительство над Кам'янець-Подільським виправним арештантським відділенням, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1877-1917	1	0
262	Подільська губернська тюрма, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1897-1919	1	0
263	Подільська губернська комісія з розгляду справ осіб, заарештованих у позасудовому порядку, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1917-1917	1	8
265	Летичівське повітове поліцейське управління, м. Летичів Летичівського повіту Подільської губернії	1867-1916	1	1
266	Ушицьке повітове поліцейське управління, м. Нова Ушиця Ушицького повіту Подільської губернії	1862-1876	1	1
268	Проскурівське повітове поліцейське управління, м. Проскурів Проскурівського повіту Подільської губернії	1863-1912	1	1
270	Кам'янецький тимчасовий поліцейський суд, заснований при Кам'янецькому повітовому суді, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1861-1870	2	4
271	Кам'янець-Подільське розшукне відділення, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1908-1917	2	0
275	Летичівська повітова у справах про вибори до Державної Думи комісія, м. Летичів Летичівського повіту Подільської губернії	1906-1912	1	0
276	Маківська волосна у справах про вибори до Державної Думи комісія, м-ко Маків Кам'янецького повіту Подільської губернії	1907-1907	1	0
277	Рабинати Подільської та Волинської губерній (колекція)		2	177
278	Пристав 3-го стану Проскурівського повіту, м. Проскурів Проскурівського повіту Подільської губернії	1870-1870	1	0
281	Прокурор Кам'янець-Подільського окружного суду, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1880-1919	2	9374
282	Управління Проскурівського повітового військового начальника, м. Проскурів Проскурівського повіту Подільської губернії	1917-1919	1	0
284	Проскурівська казарменно-будівельна комісія, м. Проскурів Проскурівського повіту Подільської губернії	1905-1905	1	0
285	Проскурівська постійна хлібопекарня 7-го армійського корпусу, м. Проскурів Проскурівського повіту Подільської губернії	1914-1915	1	0
286	Управління завідуючого збірним пунктом кавалерійських слабосильних коней 8-ї армії, м. Ямпіль Ямпільського повіту Подільської губернії	1914-1917	1	0
287	Проскурівський пункт слабосильних коней, м. Проскурів Проскурівського повіту Подільської губернії	1914-1915	1	1
289	Волочиська військова будівельна комісія, ст. Волочиськ Старокостянтинівського повіту Волинської губернії	1901-1907	1	0
294	Кам'янець-Подільський поліцмейстер, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1842-1914	1	0
295	Тимчасова комісія з перевірки правильності відстрочок військовозобов'язаних у Подільській губернії, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1917-1917	1	1
296	Волочиське поліцейське управління, м-ко Волочиськ Старокостянтинівського повіту Волинської губернії	1914-1915	1	0
297	Начальник гарнізону м. Старокостянтинова, м. Старокостянтинів Старокостянтинівського повіту Волинської губернії	1916-1917	1	0
298	Управління начальника гарнізону м. Кам'янця-Подільського, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1917-1918	1	0
299	Мировий посередник 2-ї дільниці Проскурівського повіту, м-ко Ярмолинці Проскурівського повіту Подільської губернії	1900-1904	1	3
304	Ушицька повітова земська управа, м. Нова Ушиця Ушицького повіту Подільської губернії	1913-1919	1	0
305	Маківський цукровобуряковий завод, м-ко Маків Кам'янецького повіту Подільської губернії	1910-1919	1	0
306	Подільський єпархіальний свічковий завод, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1881-1917	1	0
307	Кам'янець-Подільська реміснича управа, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1861-1899	2	59
309	Ісаковецька митниця, с. Ісаківці Кам'янецького повіту Подільської губернії	1831-1915	3	0
310	Редакція газети “Подолянин”, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1909-1909	1	0
311	Довжоцьке волосне правління, с. Довжок Кам'янецького повіту Подільської губернії	1867-1915	3	51
313	Бережанське волосне правління, с. Бережанка Кам'янецького повіту Подільської губернії	1884-1906	1	0
314	Кам'янець-Подільська міська заводська стайня, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1858-1912	1	0
315	Подільська духовна консисторія		25	13010
316	Заславське духовне правління, м. Заслав Заславського повіту Волинської губернії	1796-1874	3	25
317	Кам'янець-Подільське приватне, з повними правами, 8 класне комерційне училище Подгурського, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1916-1920	1	1
318	Кам'янець-Подільське приватне комерційне училище Я. Г. Мазінга, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1910-1919	1	41
319	Кам'янець-Подільська чоловіча гімназія, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1836-1920	5	4464
320	Проскурівське комерційне училище, м. Проскурів Проскурівського повіту Подільської губернії	1907-1918	1	7
321	Подільська губернська єврейська училищна комісія, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1848-1911	1	55
367	Мировий суддя 2-ї дільниці Ушицького судово-мирового округу, м. Нова Ушиця Ушицького повіту Подільської губернії	1873-1918	1	0
369	Проскурівське повітове церковнопарафіяльне попечительство, м. Проскурів Проскурівського повіту Подільської губернії	1910-1911	1	0
374	Соколовський Анатолій Єлизарович – нотаріус, м. Старокостянтинів Старокостянтинівського повіту Волинської губернії	1906-1915	1	0
377	Кам'янець-Подільська міська пробірна палата, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1841-1861	1	0
378	Волочиська митниця, м-ко Волочиськ Старокостянтинівського повіту Волинської губернії	1869-1916	1	0
379	Рошевський Станіслав Петрович – нотаріус, м. Летичів Летичівського повіту Подільської губернії	1906-1916	1	0
380	Зикіїв Микола Миколайович – нотаріус, м-ко Деражня Летичівського повіту Подільської губернії	1911-1916	2	0
381	Дробович-Славенський Василь Федорович – нотаріус, м. Летичів Летичівського повіту Подільської губернії	1888-1906	1	0
382	Мишобенський Павло Федорович – нотаріус, м. Нова Ушиця Ушицького повіту Подільської губернії	1880-1881	1	0
387	Мишобенський Павло Федорович – нотаріус, м. Нова Ушиця Ушицького повіту Подільської губернії	1899-1917	3	0
388	Подільський губернський комітет з продажу алкогольних напоїв, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1844-1851	1	0
392	Валявський Павло Фабіанович – нотаріус, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	1882-1914	1	0
393	Маницький Михайло Микитович – нотаріус, м-ко Ярмолинці Проскурівського повіту Подільської губернії	1892-1917	3	0
394	Сламенецький Мечислав Михайлович – нотаріус, м-ко Городок Кам'янецького повіту Подільської губернії	1889-1892	1	0
395	Шиманський Михайло Федорович – нотаріус, м-ко Ярмолинці Проскурівського повіту Подільської губернії	1888-1891	1	0
